"COMMUNITY_1","COMMUNITY2","DIFFERENCE"
"[ijcai-aaai]","[ijcai-aaai]","100.0"
"[ijcai-aaai]","[icc-globecom]","90.0"
"[ijcai-aaai]","[soda-isaac]","70.0"
"[ijcai-aaai]","[icwn-itng]","76.5"
"[ijcai-aaai]","[cav-tacas]","55.5"
"[ijcai-aaai]","[ilp]","13.0"
"[ijcai-aaai]","[sat]","60.0"
"[ijcai-aaai]","[edoc]","NaN"
"[ijcai-aaai]","[er-bpm]","23.5"
"[ijcai-aaai]","[w4a]","11.5"
"[ijcai-aaai]","[asiams]","24.0"
"[icc-globecom]","[ijcai-aaai]","NaN"
"[icc-globecom]","[icc-globecom]","100.0"
"[icc-globecom]","[soda-isaac]","60.0"
"[icc-globecom]","[icwn-itng]","66.0"
"[icc-globecom]","[cav-tacas]","44.5"
"[icc-globecom]","[ilp]","13.0"
"[icc-globecom]","[sat]","50.0"
"[icc-globecom]","[edoc]","NaN"
"[icc-globecom]","[er-bpm]","34.0"
"[icc-globecom]","[w4a]","11.5"
"[icc-globecom]","[asiams]","37.0"
"[soda-isaac]","[ijcai-aaai]","NaN"
"[soda-isaac]","[icc-globecom]","NaN"
"[soda-isaac]","[soda-isaac]","100.0"
"[soda-isaac]","[icwn-itng]","97.5"
"[soda-isaac]","[cav-tacas]","87.0"
"[soda-isaac]","[ilp]","23.5"
"[soda-isaac]","[sat]","50.0"
"[soda-isaac]","[edoc]","NaN"
"[soda-isaac]","[er-bpm]","23.5"
"[soda-isaac]","[w4a]","50.0"
"[soda-isaac]","[asiams]","50.0"
"[icwn-itng]","[ijcai-aaai]","NaN"
"[icwn-itng]","[icc-globecom]","NaN"
"[icwn-itng]","[soda-isaac]","NaN"
"[icwn-itng]","[icwn-itng]","100.0"
"[icwn-itng]","[cav-tacas]","83.5"
"[icwn-itng]","[ilp]","16.5"
"[icwn-itng]","[sat]","55.5"
"[icwn-itng]","[edoc]","NaN"
"[icwn-itng]","[er-bpm]","16.5"
"[icwn-itng]","[w4a]","43.0"
"[icwn-itng]","[asiams]","43.0"
"[cav-tacas]","[ijcai-aaai]","NaN"
"[cav-tacas]","[icc-globecom]","NaN"
"[cav-tacas]","[soda-isaac]","NaN"
"[cav-tacas]","[icwn-itng]","NaN"
"[cav-tacas]","[cav-tacas]","100.0"
"[cav-tacas]","[ilp]","39.0"
"[cav-tacas]","[sat]","44.5"
"[cav-tacas]","[edoc]","NaN"
"[cav-tacas]","[er-bpm]","39.0"
"[cav-tacas]","[w4a]","70.5"
"[cav-tacas]","[asiams]","63.5"
"[ilp]","[ijcai-aaai]","NaN"
"[ilp]","[icc-globecom]","NaN"
"[ilp]","[soda-isaac]","NaN"
"[ilp]","[icwn-itng]","NaN"
"[ilp]","[cav-tacas]","NaN"
"[ilp]","[ilp]","100.0"
"[ilp]","[sat]","55.5"
"[ilp]","[edoc]","NaN"
"[ilp]","[er-bpm]","72.0"
"[ilp]","[w4a]","77.0"
"[ilp]","[asiams]","57.0"
"[sat]","[ijcai-aaai]","NaN"
"[sat]","[icc-globecom]","NaN"
"[sat]","[soda-isaac]","NaN"
"[sat]","[icwn-itng]","NaN"
"[sat]","[cav-tacas]","NaN"
"[sat]","[ilp]","NaN"
"[sat]","[sat]","100.0"
"[sat]","[edoc]","NaN"
"[sat]","[er-bpm]","23.5"
"[sat]","[w4a]","37.0"
"[sat]","[asiams]","11.5"
"[edoc]","[ijcai-aaai]","NaN"
"[edoc]","[icc-globecom]","NaN"
"[edoc]","[soda-isaac]","NaN"
"[edoc]","[icwn-itng]","NaN"
"[edoc]","[cav-tacas]","NaN"
"[edoc]","[ilp]","NaN"
"[edoc]","[sat]","NaN"
"[edoc]","[edoc]","NaN"
"[edoc]","[er-bpm]","NaN"
"[edoc]","[w4a]","NaN"
"[edoc]","[asiams]","NaN"
"[er-bpm]","[ijcai-aaai]","NaN"
"[er-bpm]","[icc-globecom]","NaN"
"[er-bpm]","[soda-isaac]","NaN"
"[er-bpm]","[icwn-itng]","NaN"
"[er-bpm]","[cav-tacas]","NaN"
"[er-bpm]","[ilp]","NaN"
"[er-bpm]","[sat]","NaN"
"[er-bpm]","[edoc]","NaN"
"[er-bpm]","[er-bpm]","100.0"
"[er-bpm]","[w4a]","70.5"
"[er-bpm]","[asiams]","84.0"
"[w4a]","[ijcai-aaai]","NaN"
"[w4a]","[icc-globecom]","NaN"
"[w4a]","[soda-isaac]","NaN"
"[w4a]","[icwn-itng]","NaN"
"[w4a]","[cav-tacas]","NaN"
"[w4a]","[ilp]","NaN"
"[w4a]","[sat]","NaN"
"[w4a]","[edoc]","NaN"
"[w4a]","[er-bpm]","NaN"
"[w4a]","[w4a]","100.0"
"[w4a]","[asiams]","83.5"
"[asiams]","[ijcai-aaai]","NaN"
"[asiams]","[icc-globecom]","NaN"
"[asiams]","[soda-isaac]","NaN"
"[asiams]","[icwn-itng]","NaN"
"[asiams]","[cav-tacas]","NaN"
"[asiams]","[ilp]","NaN"
"[asiams]","[sat]","NaN"
"[asiams]","[edoc]","NaN"
"[asiams]","[er-bpm]","NaN"
"[asiams]","[w4a]","NaN"
"[asiams]","[asiams]","100.0"
