"VOTER","CANDIDATE","VOTE"
1,1,0
1,2,0
1,3,0
1,4,0
1,5,4
1,6,0
1,7,0
1,8,0
1,9,0
1,10,2
1,11,3
1,12,4
1,13,0
1,14,0
1,15,0
1,16,2
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,22,4
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
1,28,0
1,29,3
1,30,4
1,31,3
1,32,0
1,33,0
1,34,0
1,35,0
1,36,0
1,37,0
1,38,0
1,39,0
1,40,0
2,1,4
2,2,0
2,3,0
2,4,0
2,5,4
2,6,3
2,7,0
2,8,0
2,9,0
2,10,3
2,11,0
2,12,0
2,13,0
2,14,3
2,15,0
2,16,0
2,17,0
2,18,3
2,19,0
2,20,0
2,21,0
2,22,0
2,23,0
2,24,0
2,25,0
2,26,0
2,27,0
2,28,3
2,29,0
2,30,3
2,31,0
2,32,0
2,33,0
2,34,0
2,35,0
2,36,0
2,37,0
2,38,0
2,39,0
2,40,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,3
3,9,2
3,10,2
3,11,0
3,12,0
3,13,0
3,14,0
3,15,0
3,16,2
3,17,0
3,18,2
3,19,2
3,20,0
3,21,0
3,22,4
3,23,0
3,24,0
3,25,0
3,26,0
3,27,0
3,28,4
3,29,0
3,30,4
3,31,3
3,32,0
3,33,0
3,34,0
3,35,0
3,36,0
3,37,0
3,38,0
3,39,0
3,40,0
4,1,4
4,2,3
4,3,4
4,4,3
4,5,3
4,6,3
4,7,3
4,8,4
4,9,4
4,10,2
4,11,0
4,12,1
4,13,2
4,14,1
4,15,3
4,16,1
4,17,3
4,18,2
4,19,3
4,20,4
4,21,3
4,22,2
4,23,1
4,24,0
4,25,1
4,26,1
4,27,3
4,28,4
4,29,3
4,30,4
4,31,2
4,32,3
4,33,4
4,34,3
4,35,2
4,36,0
4,37,3
4,38,1
4,39,4
4,40,4
5,1,2
5,2,0
5,3,1
5,4,0
5,5,2
5,6,1
5,7,1
5,8,1
5,9,0
5,10,1
5,11,1
5,12,1
5,13,0
5,14,3
5,15,0
5,16,1
5,17,0
5,18,1
5,19,1
5,20,2
5,21,2
5,22,0
5,23,0
5,24,0
5,25,0
5,26,0
5,27,0
5,28,1
5,29,1
5,30,2
5,31,2
5,32,0
5,33,0
5,34,0
5,35,0
5,36,1
5,37,1
5,38,1
5,39,0
5,40,0
6,1,0
6,2,3
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,4
6,9,4
6,10,1
6,11,2
6,12,0
6,13,0
6,14,0
6,15,0
6,16,3
6,17,0
6,18,0
6,19,0
6,20,0
6,21,0
6,22,4
6,23,0
6,24,0
6,25,0
6,26,0
6,27,0
6,28,4
6,29,3
6,30,4
6,31,0
6,32,0
6,33,0
6,34,0
6,35,0
6,36,0
6,37,0
6,38,0
6,39,0
6,40,0
7,1,4
7,2,0
7,3,3
7,4,0
7,5,4
7,6,0
7,7,0
7,8,2
7,9,1
7,10,0
7,11,4
7,12,3
7,13,3
7,14,0
7,15,0
7,16,0
7,17,4
7,18,3
7,19,2
7,20,0
7,21,0
7,22,2
7,23,0
7,24,0
7,25,3
7,26,3
7,27,2
7,28,3
7,29,0
7,30,2
7,31,2
7,32,0
7,33,0
7,34,0
7,35,0
7,36,0
7,37,4
7,38,1
7,39,0
7,40,3
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0
8,8,4
8,9,0
8,10,3
8,11,0
8,12,0
8,13,0
8,14,3
8,15,0
8,16,3
8,17,0
8,18,0
8,19,0
8,20,0
8,21,0
8,22,4
8,23,0
8,24,0
8,25,0
8,26,0
8,27,0
8,28,0
8,29,0
8,30,4
8,31,3
8,32,0
8,33,0
8,34,0
8,35,0
8,36,0
8,37,0
8,38,0
8,39,0
8,40,3
9,1,0
9,2,0
9,3,0
9,4,0
9,5,0
9,6,0
9,7,0
9,8,3
9,9,0
9,10,0
9,11,0
9,12,0
9,13,0
9,14,0
9,15,0
9,16,0
9,17,0
9,18,0
9,19,0
9,20,0
9,21,0
9,22,0
9,23,0
9,24,0
9,25,0
9,26,0
9,27,0
9,28,0
9,29,0
9,30,0
9,31,0
9,32,0
9,33,0
9,34,0
9,35,0
9,36,0
9,37,0
9,38,0
9,39,0
9,40,0
10,1,0
10,2,0
10,3,0
10,4,0
10,5,3
10,6,4
10,7,0
10,8,0
10,9,0
10,10,0
10,11,0
10,12,0
10,13,0
10,14,0
10,15,0
10,16,0
10,17,0
10,18,0
10,19,0
10,20,0
10,21,0
10,22,0
10,23,0
10,24,0
10,25,0
10,26,0
10,27,0
10,28,0
10,29,0
10,30,0
10,31,0
10,32,0
10,33,0
10,34,0
10,35,0
10,36,0
10,37,0
10,38,0
10,39,0
10,40,0
11,1,4
11,2,0
11,3,4
11,4,0
11,5,0
11,6,0
11,7,0
11,8,4
11,9,0
11,10,4
11,11,0
11,12,0
11,13,0
11,14,0
11,15,0
11,16,4
11,17,0
11,18,0
11,19,0
11,20,0
11,21,0
11,22,4
11,23,0
11,24,0
11,25,0
11,26,4
11,27,0
11,28,4
11,29,0
11,30,4
11,31,4
11,32,0
11,33,0
11,34,0
11,35,0
11,36,0
11,37,4
11,38,2
11,39,0
11,40,0
12,1,3
12,2,0
12,3,4
12,4,0
12,5,3
12,6,0
12,7,0
12,8,3
12,9,0
12,10,2
12,11,3
12,12,3
12,13,0
12,14,2
12,15,0
12,16,0
12,17,0
12,18,0
12,19,0
12,20,0
12,21,0
12,22,0
12,23,0
12,24,0
12,25,0
12,26,2
12,27,3
12,28,3
12,29,0
12,30,3
12,31,2
12,32,0
12,33,0
12,34,0
12,35,0
12,36,0
12,37,2
12,38,2
12,39,0
12,40,0
13,1,4
13,2,0
13,3,4
13,4,0
13,5,4
13,6,3
13,7,0
13,8,3
13,9,0
13,10,2
13,11,3
13,12,0
13,13,0
13,14,2
13,15,0
13,16,0
13,17,0
13,18,0
13,19,0
13,20,0
13,21,0
13,22,2
13,23,0
13,24,0
13,25,2
13,26,3
13,27,0
13,28,3
13,29,0
13,30,3
13,31,1
13,32,0
13,33,0
13,34,0
13,35,0
13,36,0
13,37,4
13,38,0
13,39,0
13,40,3
14,1,0
14,2,0
14,3,4
14,4,0
14,5,0
14,6,0
14,7,0
14,8,3
14,9,0
14,10,4
14,11,0
14,12,0
14,13,0
14,14,0
14,15,0
14,16,4
14,17,0
14,18,0
14,19,0
14,20,0
14,21,0
14,22,0
14,23,0
14,24,0
14,25,0
14,26,0
14,27,0
14,28,0
14,29,3
14,30,0
14,31,3
14,32,0
14,33,0
14,34,0
14,35,0
14,36,0
14,37,0
14,38,2
14,39,0
14,40,0
15,1,2
15,2,2
15,3,2
15,4,2
15,5,3
15,6,1
15,7,3
15,8,0
15,9,0
15,10,2
15,11,3
15,12,0
15,13,0
15,14,4
15,15,4
15,16,0
15,17,0
15,18,2
15,19,4
15,20,0
15,21,4
15,22,0
15,23,0
15,24,2
15,25,4
15,26,2
15,27,2
15,28,3
15,29,3
15,30,4
15,31,3
15,32,0
15,33,0
15,34,0
15,35,4
15,36,4
15,37,2
15,38,3
15,39,0
15,40,1
16,1,0
16,2,0
16,3,0
16,4,0
16,5,0
16,6,0
16,7,0
16,8,3
16,9,0
16,10,3
16,11,0
16,12,2
16,13,0
16,14,0
16,15,0
16,16,0
16,17,0
16,18,0
16,19,0
16,20,0
16,21,0
16,22,0
16,23,0
16,24,0
16,25,0
16,26,0
16,27,0
16,28,2
16,29,3
16,30,0
16,31,3
16,32,2
16,33,0
16,34,0
16,35,4
16,36,3
16,37,2
16,38,4
16,39,0
16,40,3
17,1,4
17,2,0
17,3,4
17,4,0
17,5,3
17,6,0
17,7,0
17,8,3
17,9,1
17,10,1
17,11,2
17,12,3
17,13,0
17,14,3
17,15,0
17,16,2
17,17,0
17,18,0
17,19,3
17,20,4
17,21,0
17,22,3
17,23,0
17,24,4
17,25,3
17,26,3
17,27,3
17,28,3
17,29,2
17,30,3
17,31,2
17,32,2
17,33,2
17,34,0
17,35,0
17,36,0
17,37,3
17,38,2
17,39,0
17,40,3
18,1,0
18,2,0
18,3,3
18,4,0
18,5,0
18,6,0
18,7,0
18,8,0
18,9,0
18,10,0
18,11,0
18,12,0
18,13,0
18,14,0
18,15,0
18,16,0
18,17,0
18,18,0
18,19,0
18,20,0
18,21,0
18,22,0
18,23,0
18,24,0
18,25,0
18,26,2
18,27,3
18,28,4
18,29,0
18,30,3
18,31,0
18,32,0
18,33,0
18,34,0
18,35,0
18,36,0
18,37,0
18,38,0
18,39,0
18,40,3
19,1,0
19,2,3
19,3,0
19,4,0
19,5,0
19,6,0
19,7,0
19,8,0
19,9,0
19,10,0
19,11,0
19,12,0
19,13,0
19,14,0
19,15,0
19,16,0
19,17,0
19,18,0
19,19,0
19,20,0
19,21,0
19,22,0
19,23,0
19,24,0
19,25,0
19,26,0
19,27,0
19,28,0
19,29,0
19,30,0
19,31,0
19,32,0
19,33,0
19,34,0
19,35,0
19,36,0
19,37,0
19,38,0
19,39,0
19,40,0
20,1,0
20,2,0
20,3,0
20,4,0
20,5,0
20,6,0
20,7,0
20,8,0
20,9,0
20,10,0
20,11,0
20,12,0
20,13,0
20,14,4
20,15,0
20,16,0
20,17,0
20,18,0
20,19,0
20,20,3
20,21,0
20,22,0
20,23,0
20,24,0
20,25,0
20,26,0
20,27,0
20,28,0
20,29,0
20,30,0
20,31,0
20,32,0
20,33,0
20,34,0
20,35,0
20,36,0
20,37,0
20,38,0
20,39,0
20,40,0
21,1,0
21,2,0
21,3,0
21,4,0
21,5,0
21,6,0
21,7,0
21,8,0
21,9,0
21,10,0
21,11,0
21,12,0
21,13,0
21,14,0
21,15,0
21,16,0
21,17,0
21,18,0
21,19,0
21,20,0
21,21,0
21,22,0
21,23,0
21,24,0
21,25,0
21,26,0
21,27,0
21,28,0
21,29,0
21,30,0
21,31,0
21,32,0
21,33,0
21,34,0
21,35,0
21,36,0
21,37,0
21,38,0
21,39,0
21,40,0
