"VOTER","CANDIDATE","VOTE"
1,1,7
1,2,0
1,3,1
1,4,3
1,5,10
2,1,6
2,2,2
2,3,3
2,4,4
2,5,9
3,1,2
3,2,2
3,3,2
3,4,2
3,5,2
4,1,2
4,2,8
4,3,1
4,4,1
4,5,0
5,1,5
5,2,2
5,3,3
5,4,2
5,5,4
6,1,0
6,2,1
6,3,1
6,4,0
6,5,0
7,1,1
7,2,2
7,3,3
7,4,10
7,5,5
8,1,4
8,2,1
8,3,10
8,4,1
8,5,9
9,1,7
9,2,1
9,3,2
9,4,4
9,5,4
10,1,5
10,2,2
10,3,9
10,4,3
10,5,9
11,1,2
11,2,2
11,3,8
11,4,1
11,5,5
12,1,1
12,2,7
12,3,2
12,4,3
12,5,1
13,1,1
13,2,1
13,3,1
13,4,1
13,5,1
14,1,1
14,2,1
14,3,1
14,4,0
14,5,0
15,1,7
15,2,1
15,3,2
15,4,0
15,5,3
