"COMMUNITY_1","COMMUNITY2","DIFFERENCE"
"[ijcai-aaai]","[ijcai-aaai]","100.0"
"[ijcai-aaai]","[icc-globecom]","87.0"
"[ijcai-aaai]","[soda-isaac]","72.5"
"[ijcai-aaai]","[icwn-itng]","76.5"
"[ijcai-aaai]","[cav-tacas]","55.5"
"[ijcai-aaai]","[ilp]","13.0"
"[ijcai-aaai]","[sat]","60.0"
"[ijcai-aaai]","[edoc]","NaN"
"[ijcai-aaai]","[er-bpm]","23.5"
"[ijcai-aaai]","[w4a]","11.5"
"[ijcai-aaai]","[asiams]","24.0"
"[icc-globecom]","[ijcai-aaai]","Nan"
"[icc-globecom]","[icc-globecom]","100.0"
"[icc-globecom]","[soda-isaac]","67.5"
"[icc-globecom]","[icwn-itng]","72.0"
"[icc-globecom]","[cav-tacas]","50.0"
"[icc-globecom]","[ilp]","5.5"
"[icc-globecom]","[sat]","44.5"
"[icc-globecom]","[edoc]","NaN"
"[icc-globecom]","[er-bpm]","33.5"
"[icc-globecom]","[w4a]","16.0"
"[icc-globecom]","[asiams]","43.0"
"[soda-isaac]","[ijcai-aaai]","Nan"
"[soda-isaac]","[icc-globecom]","Nan"
"[soda-isaac]","[soda-isaac]","100.0"
"[soda-isaac]","[icwn-itng]","97.0"
"[soda-isaac]","[cav-tacas]","91.0"
"[soda-isaac]","[ilp]","20.5"
"[soda-isaac]","[sat]","50.0"
"[soda-isaac]","[edoc]","NaN"
"[soda-isaac]","[er-bpm]","20.5"
"[soda-isaac]","[w4a]","50.0"
"[soda-isaac]","[asiams]","50.0"
"[icwn-itng]","[ijcai-aaai]","Nan"
"[icwn-itng]","[icc-globecom]","Nan"
"[icwn-itng]","[soda-isaac]","Nan"
"[icwn-itng]","[icwn-itng]","100.0"
"[icwn-itng]","[cav-tacas]","83.5"
"[icwn-itng]","[ilp]","16.5"
"[icwn-itng]","[sat]","55.5"
"[icwn-itng]","[edoc]","NaN"
"[icwn-itng]","[er-bpm]","16.5"
"[icwn-itng]","[w4a]","43.0"
"[icwn-itng]","[asiams]","43.0"
"[cav-tacas]","[ijcai-aaai]","Nan"
"[cav-tacas]","[icc-globecom]","Nan"
"[cav-tacas]","[soda-isaac]","Nan"
"[cav-tacas]","[icwn-itng]","Nan"
"[cav-tacas]","[cav-tacas]","100.0"
"[cav-tacas]","[ilp]","39.0"
"[cav-tacas]","[sat]","44.5"
"[cav-tacas]","[edoc]","NaN"
"[cav-tacas]","[er-bpm]","39.0"
"[cav-tacas]","[w4a]","70.5"
"[cav-tacas]","[asiams]","63.5"
"[ilp]","[ijcai-aaai]","Nan"
"[ilp]","[icc-globecom]","Nan"
"[ilp]","[soda-isaac]","Nan"
"[ilp]","[icwn-itng]","Nan"
"[ilp]","[cav-tacas]","Nan"
"[ilp]","[ilp]","100.0"
"[ilp]","[sat]","55.5"
"[ilp]","[edoc]","NaN"
"[ilp]","[er-bpm]","72.0"
"[ilp]","[w4a]","77.0"
"[ilp]","[asiams]","57.0"
"[sat]","[ijcai-aaai]","Nan"
"[sat]","[icc-globecom]","Nan"
"[sat]","[soda-isaac]","Nan"
"[sat]","[icwn-itng]","Nan"
"[sat]","[cav-tacas]","Nan"
"[sat]","[ilp]","Nan"
"[sat]","[sat]","100.0"
"[sat]","[edoc]","NaN"
"[sat]","[er-bpm]","23.5"
"[sat]","[w4a]","37.0"
"[sat]","[asiams]","11.5"
"[edoc]","[ijcai-aaai]","Nan"
"[edoc]","[icc-globecom]","Nan"
"[edoc]","[soda-isaac]","Nan"
"[edoc]","[icwn-itng]","Nan"
"[edoc]","[cav-tacas]","Nan"
"[edoc]","[ilp]","Nan"
"[edoc]","[sat]","Nan"
"[edoc]","[edoc]","NaN"
"[edoc]","[er-bpm]","NaN"
"[edoc]","[w4a]","NaN"
"[edoc]","[asiams]","NaN"
"[er-bpm]","[ijcai-aaai]","Nan"
"[er-bpm]","[icc-globecom]","Nan"
"[er-bpm]","[soda-isaac]","Nan"
"[er-bpm]","[icwn-itng]","Nan"
"[er-bpm]","[cav-tacas]","Nan"
"[er-bpm]","[ilp]","Nan"
"[er-bpm]","[sat]","Nan"
"[er-bpm]","[edoc]","Nan"
"[er-bpm]","[er-bpm]","100.0"
"[er-bpm]","[w4a]","70.5"
"[er-bpm]","[asiams]","84.0"
"[w4a]","[ijcai-aaai]","Nan"
"[w4a]","[icc-globecom]","Nan"
"[w4a]","[soda-isaac]","Nan"
"[w4a]","[icwn-itng]","Nan"
"[w4a]","[cav-tacas]","Nan"
"[w4a]","[ilp]","Nan"
"[w4a]","[sat]","Nan"
"[w4a]","[edoc]","Nan"
"[w4a]","[er-bpm]","Nan"
"[w4a]","[w4a]","100.0"
"[w4a]","[asiams]","83.5"
"[asiams]","[ijcai-aaai]","Nan"
"[asiams]","[icc-globecom]","Nan"
"[asiams]","[soda-isaac]","Nan"
"[asiams]","[icwn-itng]","Nan"
"[asiams]","[cav-tacas]","Nan"
"[asiams]","[ilp]","Nan"
"[asiams]","[sat]","Nan"
"[asiams]","[edoc]","Nan"
"[asiams]","[er-bpm]","Nan"
"[asiams]","[w4a]","Nan"
"[asiams]","[asiams]","100.0"
